TITLE,COMPANY,LOCATION,LINK
AI/빅데이터/클라우드 분야 (인재 Pool),LG유플러스,서울,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&radius=25&start=0&vjk=fb617eeb80ea6fa9
(화학대기업) IT기획/운영,화인크루,성남 분당구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&radius=25&start=0&vjk=7fd352f69a4d9318
Data Scientist,Boston Consulting Group,서울,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&radius=25&start=0&vjk=ce6747e77c861c46
데이터Hub팀 데이터사이언티스트,고려대학교,서울 성북구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&radius=25&start=0&vjk=4ee41629ee4980b1
모터/액츄에이터 HW개발 경력인재 - 우량대기업,에스에프인촌,서울,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&radius=25&start=0&vjk=b38d9ca9d360fda2
하나손해보험 경력직,하나손해보험,서울 종로구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&radius=25&start=0&vjk=0c07d097f996104e
2020년 하반기 KB증권 신입사원(4급) 공개,케이비증권,서울 영등포구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&radius=25&start=0&vjk=49ab4b5ab0f736db
[S/W] 차량 음성인식/자연어처리 기술 개발,현대자동차그룹,서울,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&radius=25&start=0&vjk=7cd57178d4e08be0
2021년 신입직원 요강,대한상공회의소,서울 중구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&radius=25&start=0&vjk=7d0b12ab6e5a2af6
[Clova] Clova AI 인재,네이버,서울,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&radius=25&start=0&vjk=92bd400e3b5306ba
[인재풀] 아티스트,Electronic Arts,서울,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&radius=25&start=0&vjk=aac8e9355cb855ac
빅데이터 개인화 마케팅 담당자,케이뱅크은행,서울 종로구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&radius=25&start=0&vjk=10b9773511af2fd9
[전문연구요원] 상시,네이버,서울,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&radius=25&start=0&vjk=b79c2ae536063b01
[S/W] 대화 플랫폼 기획,현대자동차그룹,서울,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&radius=25&start=0&vjk=4355ea0ba78dfaa6
Data Analyst,레이니스트,서울,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&radius=25&start=0&vjk=e5ca14de265f7fc9
[네이버웹툰] Growth Data Analyst(경력),네이버,서울,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&radius=25&start=0&vjk=86d5ec1b96e9c363
개발자 인턴십,레이니스트,서울,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&radius=25&start=0&vjk=469c6f4eddd54a2c
백엔드 엔지니어 (전문연구요원 가능),버즈니,서울,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&radius=25&start=0&vjk=8b9dbb350f5c0776
[Clova] Cross Platform Python Packaging Intern,네이버,서울,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&radius=25&start=0&vjk=85d495b911ccfb21
